"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:00:19","00:00:01:14","00:00:00:19","00:00:00:19","00:00:01:14","","","","","","","0.000","","Blue","Ερμής","",""
"2","","","","C","","00:00:03:00","00:00:03:08","00:00:00:08","00:00:03:00","00:00:03:08","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"3","","","","C","","00:00:03:16","00:00:03:18","00:00:00:02","00:00:03:16","00:00:03:18","","","","","","","0.000","","Blue","Ερμής","",""
"4","","","","C","","00:00:04:11","00:00:05:19","00:00:01:08","00:00:04:11","00:00:05:19","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"5","","","","C","","00:00:10:02","00:00:11:15","00:00:01:13","00:00:10:02","00:00:11:15","","","","","","","0.000","","Blue","Ερμής","",""
"6","","","","C","","00:00:12:23","00:00:14:07","00:00:01:08","00:00:12:23","00:00:14:07","","","","","","","0.000","","Blue","Ερμής","",""
"7","","","","C","","00:00:15:18","00:00:16:06","00:00:00:12","00:00:15:18","00:00:16:06","","","","","","","0.000","","Blue","Ερμής","",""
"8","","","","C","","00:00:16:09","00:00:16:11","00:00:00:02","00:00:16:09","00:00:16:11","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"9","","","","C","","00:00:16:21","00:00:18:10","00:00:01:13","00:00:16:21","00:00:18:10","","","","","","","0.000","","Blue","Ερμής","",""
"10","","","","C","","00:00:20:14","00:00:21:05","00:00:00:15","00:00:20:14","00:00:21:05","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"11","","","","C","","00:00:21:09","00:00:21:16","00:00:00:07","00:00:21:09","00:00:21:16","","","","","","","0.000","","Blue","Ερμής","",""
"12","","","","C","","00:00:24:05","00:00:24:21","00:00:00:16","00:00:24:05","00:00:24:21","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"13","","","","C","","00:00:24:23","00:00:29:05","00:00:04:06","00:00:24:23","00:00:29:05","","","","","","","0.000","","Blue","Ερμής","",""
