"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:00:10","00:00:01:03","00:00:00:17","00:00:00:10","00:00:01:03","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"2","","","","C","","00:00:02:04","00:00:03:01","00:00:00:21","00:00:02:04","00:00:03:01","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"3","","","","C","","00:00:03:17","00:00:04:23","00:00:01:06","00:00:03:17","00:00:04:23","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"4","","","","C","","00:00:06:21","00:00:10:00","00:00:03:03","00:00:06:21","00:00:10:00","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"5","","","","C","","00:00:11:04","00:00:12:08","00:00:01:04","00:00:11:04","00:00:12:08","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"6","","","","C","","00:00:12:23","00:00:13:02","00:00:00:03","00:00:12:23","00:00:13:02","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"7","","","","C","","00:00:13:23","00:00:15:05","00:00:01:06","00:00:13:23","00:00:15:05","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"8","","","","C","","00:00:15:17","00:00:17:17","00:00:02:00","00:00:15:17","00:00:17:17","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"9","","","","C","","00:00:18:18","00:00:20:08","00:00:01:14","00:00:18:18","00:00:20:08","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"10","","","","C","","00:00:21:15","00:00:22:03","00:00:00:12","00:00:21:15","00:00:22:03","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"11","","","","C","","00:00:35:17","00:00:35:22","00:00:00:05","00:00:35:17","00:00:35:22","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"12","","","","C","","00:00:36:20","00:00:37:00","00:00:00:04","00:00:36:20","00:00:37:00","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"13","","","","C","","00:00:37:04","00:00:37:17","00:00:00:13","00:00:37:04","00:00:37:17","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"14","","","","C","","00:00:38:12","00:00:38:15","00:00:00:03","00:00:38:12","00:00:38:15","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"15","","","","C","","00:00:39:10","00:00:40:03","00:00:00:17","00:00:39:10","00:00:40:03","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"16","","","","C","","00:00:40:14","00:00:41:12","00:00:00:22","00:00:40:14","00:00:41:12","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"17","","","","C","","00:00:42:05","00:00:42:21","00:00:00:16","00:00:42:05","00:00:42:21","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"18","","","","C","","00:00:46:05","00:00:46:19","00:00:00:14","00:00:46:05","00:00:46:19","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"19","","","","C","","00:00:47:00","00:00:47:08","00:00:00:08","00:00:47:00","00:00:47:08","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"20","","","","C","","00:00:47:12","00:00:47:13","00:00:00:01","00:00:47:12","00:00:47:13","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"21","","","","C","","00:00:48:01","00:00:48:02","00:00:00:01","00:00:48:01","00:00:48:02","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"22","","","","C","","00:00:48:05","00:00:48:08","00:00:00:03","00:00:48:05","00:00:48:08","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"23","","","","C","","00:00:48:11","00:00:48:18","00:00:00:07","00:00:48:11","00:00:48:18","","","","","","","0.000","","Blue","Ενδιάμεσος άνδρας","",""
"24","","","","C","","00:00:48:20","00:00:49:00","00:00:00:04","00:00:48:20","00:00:49:00","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"25","","","","C","","00:00:53:14","00:00:53:21","00:00:00:07","00:00:53:14","00:00:53:21","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"26","","","","C","","00:00:55:04","00:00:55:16","00:00:00:12","00:00:55:04","00:00:55:16","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"27","","","","C","","00:00:56:21","00:00:56:22","00:00:00:01","00:00:56:21","00:00:56:22","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"28","","","","C","","00:00:57:14","00:00:57:15","00:00:00:01","00:00:57:14","00:00:57:15","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"29","","","","C","","00:00:57:20","00:00:57:23","00:00:00:03","00:00:57:20","00:00:57:23","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"30","","","","C","","00:00:58:04","00:00:58:07","00:00:00:03","00:00:58:04","00:00:58:07","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"31","","","","C","","00:00:58:15","00:00:59:01","00:00:00:10","00:00:58:15","00:00:59:01","","","","","","","0.000","","Blue","Γυναίκα αριστερά","",""
"32","","","","C","","00:00:59:20","00:01:00:06","00:00:00:10","00:00:59:20","00:01:00:06","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
"33","","","","C","","00:01:00:20","00:01:01:15","00:00:00:19","00:01:00:20","00:01:01:15","","","","","","","0.000","","Blue","Γυναίκα όρθια","",""
