"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:19:13","00:00:21:02","00:00:01:13","00:00:19:13","00:00:21:02","","","","","","","0.000","","Blue","Τοίχοι","",""
"2","","","","C","","00:00:21:02","00:00:26:14","00:00:05:12","00:00:21:02","00:00:26:14","","","","","","","0.000","","Blue","Πλίθρες","",""
"3","","","","C","","00:00:28:00","00:00:30:17","00:00:02:17","00:00:28:00","00:00:30:17","","","","","","","0.000","","Blue","Ερμής","",""
"4","","","","C","","00:00:30:17","00:00:33:02","00:00:02:09","00:00:30:17","00:00:33:02","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"5","","","","C","","00:00:33:03","00:00:39:12","00:00:06:09","00:00:33:03","00:00:39:12","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"6","","","","C","","00:00:40:15","00:00:44:14","00:00:03:23","00:00:40:15","00:00:44:14","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"7","","","","C","","00:00:44:15","00:00:48:01","00:00:03:10","00:00:44:15","00:00:48:01","","","","","","","0.000","","Blue","Ερμής δεξί χέρι","",""
"8","","","","C","","00:01:03:12","00:01:14:18","00:00:11:06","00:01:03:12","00:01:14:18","","","","","","","0.000","","Blue","Ερμής αριστερό χέρι","",""
"9","","","","C","","00:01:15:20","00:01:19:10","00:00:03:14","00:01:15:20","00:01:19:10","","","","","","","0.000","","Blue","Ερμής","",""
"10","","","","C","","00:01:19:11","00:01:29:07","00:00:09:20","00:01:19:11","00:01:29:07","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
