"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","00:00:25:07","00:00:28:04","00:00:02:21","00:00:25:07","00:00:28:04","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"2","","","","C","","00:00:28:05","00:00:30:17","00:00:02:12","00:00:28:05","00:00:30:17","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
"3","","","","C","","00:00:30:18","00:00:33:17","00:00:02:23","00:00:30:18","00:00:33:17","","","","","","","0.000","","Blue","Πανωφόρι","",""
"4","","","","C","","00:00:33:18","00:00:35:13","00:00:01:19","00:00:33:18","00:00:35:13","","","","","","","0.000","","Blue","Ερμής αριστερό χέρι","",""
"5","","","","C","","00:00:35:13","00:00:37:05","00:00:01:16","00:00:35:13","00:00:37:05","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"6","","","","C","","00:00:38:01","00:00:40:06","00:00:02:05","00:00:38:01","00:00:40:06","","","","","","","0.000","","Blue","Μικρός Διόνυσος","",""
"7","","","","C","","00:00:40:06","00:00:43:12","00:00:03:06","00:00:40:06","00:00:43:12","","","","","","","0.000","","Blue","Ερμής δεξί χέρι","",""
"8","","","","C","","00:00:47:19","00:00:54:19","00:00:07:00","00:00:47:19","00:00:54:19","","","","","","","0.000","","Blue","Ερμής αριστερό χέρι","",""
"9","","","","C","","00:00:55:04","00:00:57:12","00:00:02:08","00:00:55:04","00:00:57:12","","","","","","","0.000","","Blue","Σώμα Ερμή","",""
"10","","","","C","","00:00:57:13","00:01:04:04","00:00:06:15","00:00:57:13","00:01:04:04","","","","","","","0.000","","Blue","Κορμός δέντρου","",""
